IncidentNumber,DateOfCall,CalYear,HourOfCall,IncGeo_BoroughName,Easting_rounded,Northing_rounded,AttendanceTime,DeployedFromStation,lat_cal,long_cal,lat_cal_r,long_cal_r,stat,lat,long,bor_sqkm,pop_per_stat,distance_stat,distance,AttendanceTimeClasses3
058899-28042023,28-Apr-23,2023,20,SOUTHWARK,533750,180050,237.0,Dockhead,inf,inf,51.50356595788415,-0.07433740233352575,Dockhead,51.50061865,-0.07079419,28.85,102125.0,3995.727280892831,409.9477109290881,3-6min
176513-11112023,11-Nov-23,2023,0,BROMLEY,537950,169450,212.0,Beckenham,inf,inf,51.407304288155686,-0.017993116653865365,Beckenham,51.40804499,-0.0341093,150.15,82458.0,12792.281250373548,1124.3997133351309,3-6min
007373-16012023,16-Jan-23,2023,18,CROYDON,531650,167950,296.0,Croydon,inf,inf,51.3953203552881,-0.10907404177192986,Croydon,51.36904316,-0.10502934,86.52,78101.0,15455.437048077774,2937.0147723768064,3-6min
095216-28062023,28-Jun-23,2023,0,SOUTHWARK,533450,179150,97.0,Old Kent Road,inf,inf,51.49554904286518,-0.0789972686610327,Old Kent Road,51.48695786,-0.07366975,28.85,102125.0,4356.591980686375,1024.9549495248734,0-3min
134861-03092023,03-Sep-23,2023,23,KENSINGTON AND CHELSEA,524350,180550,234.0,North Kensington,inf,inf,51.51020389930203,-0.20952160256519087,North Kensington,51.5218389,-0.2148304,12.13,47980.0,6264.950872916909,1345.9215649501332,3-6min
052848-16042023,16-Apr-23,2023,17,KENSINGTON AND CHELSEA,524750,179250,181.0,Kensington,inf,inf,51.49843266681296,-0.20422004107536312,Kensington,51.5028,-0.1904,12.13,47980.0,4384.517983460514,1075.6588995024483,3-6min
155473-06102023,06-Oct-23,2023,22,CROYDON,537950,163550,176.0,Addington,inf,inf,51.35428529377618,-0.020282283811104897,Addington,51.35185047,-0.0239798,86.52,78101.0,18718.41426144012,373.802120630339,0-3min
017275-04022023,04-Feb-23,2023,6,HILLINGDON,505650,180750,577.0,Hillingdon,inf,inf,51.51580381349194,-0.478815652911233,Hillingdon,51.53228,-0.45221,115.7,76198.0,22665.210491894057,2601.9230561015834,9-12min
008879-19012023,19-Jan-23,2023,13,BRENT,524950,183950,456.0,Paddington,inf,inf,51.540627417560664,-0.19967545159804906,Paddington,51.5202041,-0.183022,21.48,102544.0,4109.333901321731,2549.260540999976,6-9min
118898-07082023,07-Aug-23,2023,12,SOUTHWARK,534250,178250,131.0,Old Kent Road,inf,inf,51.4872720853295,-0.06782200570397322,Old Kent Road,51.48695786,-0.07366975,28.85,102125.0,4356.591980686375,407.6865892170847,0-3min
123363-15082023,15-Aug-23,2023,11,ENFIELD,534950,194550,426.0,Southgate,inf,inf,51.63358043035873,-0.05149522762901083,Southgate,51.6306,-0.12754,80.84,109867.0,13734.420279492835,5275.74073783233,6-9min
157967-10102023,10-Oct-23,2023,22,WANDSWORTH,527450,174850,221.0,Battersea,inf,inf,51.45828863667877,-0.1669305672339777,Battersea,51.4671185,-0.1876668,34.26,109456.0,6105.024929730367,1744.0979913913532,3-6min
068314-16052023,16-May-23,2023,7,WESTMINSTER,529150,178350,364.0,Lambeth,inf,inf,51.489357414868934,-0.14119711703257615,Lambeth,51.4634153,-0.1215096,26.82,63500.0,4890.8718638849405,3193.9590897194225,6-9min
019816-09022023,09-Feb-23,2023,0,HARINGEY,531350,187550,239.0,Holloway,inf,inf,51.571527037939504,-0.10610005027925493,Holloway,51.561766,-0.116461,14.86,108384.0,6121.146116041655,1302.1261415176193,3-6min
112295-26072023,26-Jul-23,2023,18,RICHMOND UPON THAMES,522850,176650,395.0,Wandsworth,51.47583801699394,-0.23285651748955613,51.47548165870201,-0.2324814902556653,Wandsworth,51.4378592,-0.1802274,34.26,109456.0,8538.269839100261,5587.607161758635,6-9min
100576-07072023,07-Jul-23,2023,4,LEWISHAM,535850,176050,428.0,New Cross,51.4671018674486,-0.04559480352323079,51.467120559525384,-0.045637197781472405,New Cross,51.47373132,-0.04923807,35.15,74952.0,6577.655665872406,780.0318691472625,6-9min
107502-18072023,18-Jul-23,2023,13,HOUNSLOW,519950,177450,490.0,Richmond,inf,inf,51.48329328138976,-0.273946392865708,Richmond,51.4674124,-0.2849489,57.41,97616.0,11771.22733156341,1925.141002202911,6-9min
058101-27042023,27-Apr-23,2023,10,KENSINGTON AND CHELSEA,524650,181350,138.0,North Kensington,inf,inf,51.51732748392884,-0.20491830304211606,North Kensington,51.5218389,-0.2148304,12.13,47980.0,6264.950872916909,851.6385373618571,0-3min
169589-30102023,30-Oct-23,2023,17,LEWISHAM,537850,176050,261.0,Greenwich,inf,inf,51.4666373579642,-0.016862762403923294,Greenwich,51.47380645,-0.01340824,47.35,57851.0,8733.466473723414,832.9505827958116,3-6min
000828-02012023,02-Jan-23,2023,12,LAMBETH,531250,171150,188.0,West Norwood,inf,inf,51.424170478338624,-0.11363700455662246,West Norwood,51.4258523,-0.1109787,26.82,63500.0,9126.040714912837,263.05563787338366,3-6min
147063-22092023,22-Sep-23,2023,13,ISLINGTON,532150,183650,403.0,Islington,inf,inf,51.53629327552457,-0.09602746779347979,Islington,51.539912,-0.102337,14.86,108384.0,4036.576352007245,594.7622912027431,6-9min
057505-26042023,26-Apr-23,2023,5,LEWISHAM,536250,178050,268.0,Deptford,inf,inf,51.48499695040967,-0.03911161272254986,Deptford,51.48489956,-0.03380805,35.15,74952.0,6948.464184782571,368.56274571922995,3-6min
018280-06022023,06-Feb-23,2023,4,NEWHAM,540050,181850,279.0,Poplar,inf,inf,51.51821594201212,0.01708752489132324,Poplar,51.51088,-0.015706,19.77,62455.0,7754.7944072924065,2418.365059406499,3-6min
191591-06122023,06-Dec-23,2023,13,EALING,514150,179850,275.0,Southall,51.50560642639549,-0.3561586977253995,51.50606307927325,-0.3566610026547607,Southall,51.51144,-0.37448,55.53,91532.0,17114.811924824804,1429.6555695218,3-6min
183703-23112023,23-Nov-23,2023,9,HAVERING,552750,191350,311.0,Romford,inf,inf,51.60028250342794,0.2041114430171698,Romford,51.593238,0.183295,112.27,65506.0,23562.433272317823,1641.6247079909117,3-6min
190262-04122023,04-Dec-23,2023,1,CAMDEN,529950,184150,343.0,Euston,inf,inf,51.54129682114932,-0.12754473468450916,Euston,51.52776,-0.13079,21.8,70130.0,2299.648379802561,1522.8273593276524,3-6min
167555-27102023,27-Oct-23,2023,0,HACKNEY,533050,186150,213.0,Stoke Newington,inf,inf,51.558547951836125,-0.08211433681280893,Stoke Newington,51.562056,-0.07653,19.06,86652.0,7052.842221705138,549.828600798967,3-6min
045865-02042023,02-Apr-23,2023,21,LAMBETH,530950,178550,218.0,Lambeth,inf,inf,51.49074114907191,-0.11521191476332746,Lambeth,51.4634153,-0.1215096,26.82,63500.0,4890.8718638849405,3071.5255228550727,3-6min
086664-14062023,14-Jun-23,2023,23,WESTMINSTER,528750,180950,399.0,Soho,51.51245360468249,-0.14538771816815813,51.51281410612371,-0.14600719984741214,Soho,51.512614,-0.1319784,21.48,102544.0,677.7434404956789,928.7928591735432,6-9min
